Coastal miner,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '22.2 g', 'ecoregion': 'Sechura Desert', 'geographic distribution includes': 'Peru', 'habitat': 'tropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Cobalt-winged parakeet,"{'auditory system': 'tympanic middle ear', 'behavioral circadian rhythm': 'diurnal', 'biogeographic realm': 'The Neotropics', 'body mass': '57 g', 'eats': '1.334 pg', 'genome size': 'Bolivia', 'geographic distribution includes': 'headwater', 'habitat': 'terrestrial,flight', 'locomotion': 'Stable', 'population trend': 'corneal eyes'}"
Cobb's wren,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '20 g', 'geographic distribution includes': 'South Atlantic', 'habitat': 'coastal,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
Cocha antshrike,"{'auditory system': 'otoliths', 'biogeographic realm': 'The Neotropics', 'conservation status': 'near threatened', 'ecoregion': 'Napo Moist Forests', 'geographic distribution includes': 'Colombia', 'habitat': 'tropical,freshwater habitat', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Cochabamba mountain finch,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'Bolivia', 'habitat': 'mountain', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Cock-tailed tyrant,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '16 g', 'conservation status': 'vulnerable', 'geographic distribution includes': 'Argentina', 'habitat': 'marsh,terrestrial', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'type specimen repository': 'University Museum of Zoology, Cambridge', 'visual system': 'corneal eyes'}"
Cockatiel,"{'bill length': '13.7 mm', 'body shape': 'bilaterally symmetric', 'diet includes': 'seeds', 'geographic distribution includes': 'United States', 'mating system': 'monogamous', 'native range includes': 'Australia', 'population trend': 'Stable', 'social system': 'group living', 'tarsus length': '15.4 mm', 'temperature at range midpoint latitude': '13.1 degrees celsius', 'trophic guild': 'granivore', 'type specimen repository': 'University Museum of Zoology, Cambridge'}"
