Sandstone shrikethrush,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '62 g', 'ecoregion': 'Kimberly Tropical Savanna', 'geographic distribution includes': 'Australia', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Sandwich tern,"{'behavioral circadian rhythm': 'diurnal', 'body shape': 'bilaterally symmetric', 'diet includes': 'fish', 'habitat': 'coastal', 'locomotion': 'flight', 'mating system': 'monogamous', 'motility': 'actively mobile', 'native range includes': 'Indian Ocean', 'parental care': 'provisioning', 'social system': 'group living', 'trophic guild': 'piscivore', 'trophic level': 'carnivore'}"
Sandy gallito,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '41.8 g', 'ecoregion': 'Low Monte', 'geographic distribution includes': 'Argentina', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Sandy scops owl,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'Afrotropics', 'body mass': '73.3 g', 'conservation status': 'cites appendix ii', 'geographic distribution includes': 'Liberia', 'habitat': 'tropical,terrestrial', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
Sanford's sea eagle,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '2500 g', 'conservation status': 'vulnerable', 'ecoregion': 'Solomon Islands Rain Forests', 'geographic distribution includes': 'Solomon Islands', 'habitat': 'freshwater habitat', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Sanford's white-eye,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'ecoregion': 'Vanuatu Rain Forests', 'geographic distribution includes': 'South Pacific', 'habitat': 'tropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Sangihe hanging parrot,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'conservation status': 'near threatened', 'ecoregion': 'Sulawesi Lowland Rain Forests', 'geographic distribution includes': 'Indonesia', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Sangihe pitta,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'Indonesia', 'habitat': 'tropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Sangihe scops owl,"{'auditory system': 'tympanic middle ear', 'body mass': '76 g', 'conservation status': 'cites appendix ii', 'geographic distribution includes': 'Indonesia', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '-15 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'Museum of Zoology Senckenberg Dresden', 'visual system': 'corneal eyes'}"
Sangihe shrikethrush,"{'auditory system': 'tympanic middle ear', 'conservation status': 'critically endangered', 'geographic distribution includes': 'Indonesia', 'habitat': 'tropical,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Sangihe white-eye,"{'auditory system': 'tympanic middle ear', 'conservation status': 'critically endangered', 'habitat': 'tropical,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Sangkar white-eye,"{'auditory system': 'tympanic middle ear', 'conservation status': 'vulnerable', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Santa Cruz ground dove,"{'auditory system': 'tympanic middle ear', 'conservation status': 'endangered', 'habitat': 'tropical,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Santa Cruz shrikebill,"{'auditory system': 'tympanic middle ear', 'conservation status': 'endangered', 'habitat': 'subtropical,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Santa Cruz white-eye,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'South Pacific', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Unknown', 'visual system': 'corneal eyes'}"
Santa Marta antbird,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'Colombia', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Santa Marta antpitta,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '62 g', 'conservation status': 'vulnerable', 'geographic distribution includes': 'Colombia', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Santa Marta blossomcrown,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'conservation status': 'vulnerable', 'ecoregion': 'Santa Marta Montane Forests', 'geographic distribution includes': 'Colombia', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Santa Marta brushfinch,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '25 g', 'ecoregion': 'Santa Marta Montane Forests', 'geographic distribution includes': 'Colombia', 'habitat': 'subtropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
