Streaked weaver,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'body mass': '18.4 g', 'ecoregion': 'Tonle Sap-Mekong Peat Swamp Forests', 'geographic distribution includes': 'Indian Ocean', 'habitat': 'freshwater,freshwater habitat', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Streaked wren-babbler,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the palearctic', 'body mass': '22 g', 'ecoregion': 'Chin Hills-Arakan Yoma Montane Forests', 'geographic distribution includes': 'Cambodia', 'habitat': 'tropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
Streaked xenops,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '12.2 g', 'ecoregion': 'Santa Marta Montane Forests', 'geographic distribution includes': 'South Pacific', 'habitat': 'tropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'type specimen repository': 'Harvard UNiversity, Museum of Comparative Zoology', 'visual system': 'corneal eyes'}"
Streaky seedeater,"{'auditory system': 'tympanic middle ear', 'geographic distribution includes': 'Kenya', 'habitat': 'scrubland,freshwater habitat', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Streaky-breasted flufftail,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'Afrotropics', 'body mass': '42 g', 'ecoregion': 'South Malawi Montane Forest-Grassland Mosaic', 'geographic distribution includes': 'Zimbabwe', 'habitat': 'freshwater habitat', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Streaky-breasted spiderhunter,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'body mass': '29.2 g', 'ecoregion': 'Southwest Borneo Freshwater Swamp Forests', 'geographic distribution includes': 'Malaysia', 'habitat': 'tropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Streaky-headed seedeater,{'geographic distribution includes': 'Angola'}
Streamer-tailed tyrant,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '71.40000000000001 g', 'geographic distribution includes': 'Bolivia', 'habitat': 'tropical,terrestrial', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'preys on': 'University Museum of Zoology, Cambridge', 'type specimen repository': 'corneal eyes'}"
Stresemann's bristlefront,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'conservation status': 'critically endangered', 'ecoregion': 'Bahia Coastal Forests', 'geographic distribution includes': 'Brazil', 'habitat': 'forest,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Stresemann's bushcrow,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'Afrotropics', 'conservation status': 'endangered', 'ecoregion': 'Somali Acacia-Commiphora Bushlands And Thickets', 'geographic distribution includes': 'Ethiopia', 'habitat': 'savanna,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Striated antbird,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '10.3 g', 'ecoregion': 'Southwest Amazon Moist Forests', 'geographic distribution includes': 'Bolivia', 'habitat': 'headwater,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Striated antthrush,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'The Neotropics', 'body mass': '123 g', 'geographic distribution includes': 'Bolivia', 'habitat': 'tropical,terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'type specimen repository': 'NHMUK', 'visual system': 'corneal eyes'}"
Striated babbler,"{'auditory system': 'tympanic middle ear', 'habitat': 'terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'visual system': 'corneal eyes'}"
Striated bulbul,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'body mass': '60 g', 'ecoregion': 'Himalayan Subtropical Broadleaf Forests', 'geographic distribution includes': 'Bhutan', 'habitat': 'subtropical', 'hearing range': '5000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'visual system': 'corneal eyes'}"
Striated caracara,"{'auditory system': 'tympanic middle ear', 'body mass': '1187 g', 'conservation status': 'near threatened', 'geographic distribution includes': 'Falkland Islands', 'habitat': 'cliff,terrestrial', 'hearing range': '5000 Hz', 'hearing threshold': '20 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Striated earthcreeper,"{'auditory system': 'otoliths', 'geographic distribution includes': 'Peru', 'habitat': 'terrestrial', 'hearing range': '1000 Hz', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Stable', 'visual system': 'corneal eyes'}"
Striated fieldwren,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'australasia', 'body mass': '26 g', 'ecoregion': 'Tasmanian Temperate Rain Forests', 'geographic distribution includes': 'Australia', 'habitat': 'terrestrial', 'hearing threshold': '10 dB', 'locomotion': 'bipedal movement', 'mineralized skeleton contains': 'apatite', 'population trend': 'Decreasing', 'type specimen repository': 'University Museum of Zoology, Cambridge', 'visual system': 'corneal eyes'}"
Striated grassbird,"{'auditory system': 'tympanic middle ear', 'biogeographic realm': 'the indo-malayan realm', 'body mass': '41.8 g', 'ecoregion': 'Mizoram-Manipur-Kachin Rain Forests', 'geographic distribution includes': 'Indian Ocean', 'habitat': 'freshwater habitat', 'hearing threshold': '10 dB', 'locomotion': 'flight', 'mineralized skeleton contains': 'apatite', 'population trend': 'Unknown', 'type specimen repository': 'Harvard UNiversity, Museum of Comparative Zoology', 'visual system': 'corneal eyes'}"
